employee_id,hire_date,termination_date,department,job_level,termination_reason
EMP0001,12/11/2021,02/03/2024,HR,Individual Contributor,Layoff
EMP0002,07/12/2022,09/07/2022,Marketing,Individual Contributor,Voluntary
EMP0003,03/15/2025,,HR,Senior,
EMP0004,01/19/2022,09/12/2022,HR,Senior,Voluntary
EMP0005,03/28/2020,08/25/2020,Customer Support,Individual Contributor,Voluntary
EMP0006,05/22/2023,,Operations,Individual Contributor,
EMP0007,08/18/2020,06/26/2022,Sales,Individual Contributor,Voluntary
EMP0008,08/03/2023,,Customer Support,Individual Contributor,
EMP0009,08/08/2021,09/22/2023,Marketing,Individual Contributor,Voluntary
EMP0010,03/04/2022,07/30/2023,Customer Support,Senior,Voluntary
EMP0011,07/12/2020,08/24/2022,Sales,Individual Contributor,Voluntary
EMP0012,06/01/2022,07/12/2022,Customer Support,Individual Contributor,Voluntary
EMP0013,05/17/2022,09/17/2024,Sales,Individual Contributor,Voluntary
EMP0014,03/04/2025,04/27/2025,Marketing,Individual Contributor,Involuntary
EMP0015,12/22/2022,04/22/2023,Sales,Individual Contributor,Voluntary
EMP0016,07/27/2020,,Operations,Manager,
EMP0017,04/03/2022,,Operations,Senior,
EMP0018,12/04/2022,,Customer Support,Senior,
EMP0019,06/08/2025,,Marketing,Individual Contributor,
EMP0020,08/15/2021,10/01/2022,Sales,Director,Voluntary
EMP0021,10/28/2021,12/21/2021,Finance,Individual Contributor,Involuntary
EMP0022,03/21/2024,,Operations,Senior,
EMP0023,01/15/2022,06/10/2022,Product Development,Manager,Involuntary
EMP0024,08/16/2023,03/19/2025,Finance,Individual Contributor,Voluntary
EMP0025,01/19/2021,03/15/2022,Product Development,Senior,Voluntary
EMP0026,01/20/2022,03/06/2022,Operations,Senior,Voluntary
EMP0027,03/12/2023,07/24/2023,HR,Senior,Voluntary
EMP0028,12/10/2020,04/30/2022,Operations,Lead,Voluntary
EMP0029,02/01/2022,09/26/2024,Marketing,Individual Contributor,Voluntary
EMP0030,01/14/2020,09/08/2020,Finance,Senior,
EMP0031,05/10/2022,03/28/2023,Product Development,Senior,Voluntary
EMP0032,07/16/2023,12/12/2023,HR,Senior,Voluntary
EMP0033,06/19/2022,08/05/2024,Marketing,Senior,Voluntary
EMP0034,04/19/2023,09/08/2023,Product Development,Senior,Involuntary
EMP0035,09/25/2023,,Customer Support,Manager,
EMP0036,05/13/2024,,Sales,Individual Contributor,
EMP0037,04/12/2024,,HR,Senior,
