employee_id,department,job_level,tenure_months,training_hours,manager_support,work_life_balance,engagement_score,performance_rating
EMP_0001,Operations,Senior,25,59,3.9,3.3,5.6,3.9
EMP_0002,IT,Individual Contributor,7,69,3.7,3.5,4.3,4.8
EMP_0003,Operations,Individual Contributor,37,22,2.8,2.8,4.5,3.4
EMP_0004,Sales,Individual Contributor,20,33,3.7,2.6,5.4,3.6
EMP_0005,Sales,Senior,24,52,2.8,3.1,5.6,3.5
EMP_0006,HR,Manager,50,45,2.3,4.7,8.2,4.9
EMP_0007,Research,Senior,26,44,3.8,3.7,6.1,4.7
EMP_0008,IT,Individual Contributor,5,72,3.0,3.4,5.5,4.2
EMP_0009,Marketing,Individual Contributor,26,27,4.7,3.9,9.6,4.9
EMP_0010,Customer Support,Senior,26,55,2.4,2.5,2.0,3.1
EMP_0011,Finance,Individual Contributor,26,32,4.2,2.7,6.0,4.2
EMP_0012,Sales,Individual Contributor,10,55,2.3,4.6,6.8,3.6
EMP_0013,Customer Support,Senior,1,58,3.9,3.5,7.8,3.9
EMP_0014,Engineering,Individual Contributor,23,35,4.3,3.6,7.5,3.9
EMP_0015,Operations,Individual Contributor,20,31,3.9,3.6,8.5,4.2
EMP_0016,Finance,Individual Contributor,16,51,4.0,2.8,7.4,4.4
EMP_0017,HR,Individual Contributor,32,39,1.9,2.9,1.9,3.5
EMP_0018,Engineering,Individual Contributor,22,50,4.4,2.9,7.3,4.7
EMP_0019,Operations,Senior,20,27,3.0,2.7,7.0,4.4
EMP_0020,Marketing,Individual Contributor,29,51,4.1,2.5,7.9,4.5
EMP_0021,Legal,Individual Contributor,45,50,3.1,2.1,4.0,4.0
EMP_0022,Customer Support,Individual Contributor,31,43,1.6,3.4,3.5,2.8
EMP_0023,Engineering,Individual Contributor,14,44,4.6,3.1,8.0,4.7
EMP_0024,Operations,Individual Contributor,22,59,4.7,2.6,7.2,4.1
EMP_0025,Sales,Individual Contributor,16,18,3.7,3.4,4.7,3.4
EMP_0026,HR,Manager,62,48,2.6,3.7,8.0,4.6
EMP_0027,IT,Individual Contributor,29,56,2.9,3.5,5.4,4.3
EMP_0028,HR,Individual Contributor,36,43,2.4,4.4,5.3,3.8
EMP_0029,Marketing,Individual Contributor,6,50,3.8,1.9,5.6,3.6
EMP_0030,Customer Support,Senior,27,26,3.9,3.2,8.2,3.9
EMP_0031,Sales,Individual Contributor,17,25,4.5,4.2,7.4,4.4
EMP_0032,Sales,Individual Contributor,33,36,3.5,2.9,4.4,4.2
EMP_0033,Customer Support,Individual Contributor,35,34,3.1,3.1,6.0,4.2
EMP_0034,Customer Support,Senior,37,47,3.8,2.4,4.4,4.4
EMP_0035,Sales,Individual Contributor,25,7,2.5,3.7,2.4,2.6
EMP_0036,Marketing,Senior,29,51,3.8,2.6,6.8,4.3
EMP_0037,Customer Support,Individual Contributor,15,42,3.8,4.1,7.4,4.1
EMP_0038,Research,Individual Contributor,14,52,3.0,3.0,8.3,4.5
EMP_0039,Engineering,Senior,45,56,4.1,3.1,7.6,4.7
EMP_0040,Engineering,Individual Contributor,18,56,3.0,1.7,5.4,3.5
EMP_0041,Engineering,Individual Contributor,46,65,4.5,2.9,5.1,4.9
EMP_0042,Engineering,Lead,33,75,4.7,3.8,7.9,4.8
EMP_0043,HR,Senior,47,44,2.7,3.9,7.7,4.8
EMP_0044,Marketing,Individual Contributor,27,22,3.7,4.8,6.5,4.2
EMP_0045,Marketing,Senior,42,53,3.9,3.5,6.5,4.4
EMP_0046,Customer Support,Individual Contributor,30,40,4.3,4.3,7.7,4.3
EMP_0047,Engineering,Individual Contributor,38,49,3.9,4.0,9.2,4.6
EMP_0048,Engineering,Senior,27,37,3.6,2.1,5.9,4.4
EMP_0049,Sales,Individual Contributor,16,42,2.0,2.2,4.8,3.2
EMP_0050,IT,Individual Contributor,11,58,4.0,2.6,6.8,3.9
EMP_0051,Marketing,Senior,9,56,3.5,3.3,7.1,5.0
EMP_0052,Legal,Individual Contributor,35,29,4.1,2.6,6.3,3.8
EMP_0053,Sales,Individual Contributor,3,66,4.2,3.5,7.3,4.0
EMP_0054,Sales,Individual Contributor,11,36,3.6,3.8,7.3,3.8
EMP_0055,Operations,Lead,54,51,3.6,3.3,6.2,4.3
EMP_0056,Engineering,Individual Contributor,23,58,1.8,2.3,2.0,2.6
EMP_0057,Research,Manager,57,70,3.4,2.6,6.1,4.8
EMP_0058,Marketing,Senior,17,48,3.3,3.6,6.8,3.8
EMP_0059,Engineering,Senior,27,56,3.5,3.8,7.7,4.4
EMP_0060,Sales,Individual Contributor,7,49,2.0,3.5,6.6,3.8
EMP_0061,Sales,Individual Contributor,19,44,3.4,3.5,8.2,4.2
EMP_0062,Sales,Individual Contributor,43,50,2.8,2.4,3.3,2.7
EMP_0063,Sales,Lead,14,57,2.3,2.8,5.7,3.4
EMP_0064,Marketing,Senior,38,39,2.5,3.7,5.9,4.7
EMP_0065,Engineering,Lead,43,66,3.0,2.5,6.4,4.9
EMP_0066,Engineering,Senior,59,50,3.2,3.9,6.5,4.9
EMP_0067,Engineering,Senior,43,50,4.0,3.9,6.4,4.9
EMP_0068,IT,Individual Contributor,24,59,3.1,4.0,6.1,3.5
EMP_0069,Sales,Senior,40,27,3.1,4.5,8.8,4.6
EMP_0070,Finance,Lead,42,50,3.0,2.7,5.8,4.8
EMP_0071,HR,Manager,56,65,2.4,3.5,3.3,4.4
EMP_0072,Sales,Individual Contributor,20,54,3.2,2.3,3.9,3.9
EMP_0073,Engineering,Individual Contributor,31,29,2.4,3.8,4.2,4.0
EMP_0074,Operations,Individual Contributor,32,15,2.4,4.8,5.8,3.5
EMP_0075,Marketing,Lead,43,68,4.9,3.6,7.8,4.5
EMP_0076,HR,Senior,44,51,3.3,4.4,5.5,4.6
EMP_0077,IT,Individual Contributor,2,56,2.2,2.3,2.9,3.6
EMP_0078,Legal,Senior,45,45,4.7,2.8,6.7,4.9
EMP_0079,Customer Support,Individual Contributor,12,56,1.7,4.4,2.6,3.5
EMP_0080,IT,Senior,28,78,2.3,3.2,7.1,4.7
EMP_0081,HR,Manager,50,62,3.4,3.7,6.8,5.0
EMP_0082,Engineering,Individual Contributor,9,47,4.6,4.2,8.5,4.7
EMP_0083,Sales,Lead,23,41,3.4,3.1,6.3,3.9
EMP_0084,HR,Senior,58,74,3.9,3.5,6.4,4.9
EMP_0085,Engineering,Individual Contributor,33,33,4.5,4.0,9.8,4.9
EMP_0086,Marketing,Individual Contributor,28,35,4.5,4.1,6.1,3.6
EMP_0087,Sales,Senior,21,58,4.9,2.4,7.6,4.6
EMP_0088,Sales,Individual Contributor,44,47,4.2,3.3,6.9,4.1
EMP_0089,Marketing,Manager,21,69,4.1,5.0,10.0,4.9
EMP_0090,Engineering,Lead,44,73,4.2,2.6,7.0,4.5
EMP_0091,Legal,Individual Contributor,55,38,2.9,3.3,6.0,4.2
EMP_0092,IT,Senior,13,65,3.5,3.6,6.6,4.9
EMP_0093,Operations,Lead,35,45,4.3,3.2,5.9,3.8
EMP_0094,HR,Senior,43,53,3.9,2.9,5.2,3.8
EMP_0095,HR,Individual Contributor,27,44,3.3,3.7,8.0,4.4
EMP_0096,Operations,Senior,29,49,3.3,3.6,7.6,4.9
EMP_0097,Sales,Lead,17,68,3.5,2.6,5.7,5.0
EMP_0098,Engineering,Lead,35,51,3.7,2.6,4.8,4.1
EMP_0099,Operations,Individual Contributor,13,24,2.6,3.6,4.4,3.1
EMP_0100,Finance,Individual Contributor,45,39,3.8,2.3,4.9,3.4
EMP_0101,Customer Support,Individual Contributor,10,32,2.7,2.5,2.9,2.8
EMP_0102,Sales,Individual Contributor,13,35,3.5,3.7,4.5,4.0
EMP_0103,Sales,Manager,40,33,4.3,4.3,6.2,4.4
EMP_0104,Research,Individual Contributor,40,59,2.8,2.9,5.3,4.4
EMP_0105,Finance,Individual Contributor,33,35,3.4,3.5,4.2,3.6
EMP_0106,Marketing,Lead,39,64,3.5,3.2,4.8,4.5
EMP_0107,Operations,Manager,41,38,3.0,3.2,3.2,3.6
EMP_0108,Marketing,Individual Contributor,16,37,2.5,4.2,6.1,4.1
EMP_0109,Research,Individual Contributor,39,51,2.4,3.6,6.0,4.6
EMP_0110,Finance,Manager,42,41,3.0,2.8,5.8,4.5
EMP_0111,Operations,Individual Contributor,21,63,3.7,2.6,4.5,3.4
EMP_0112,Engineering,Senior,22,45,2.8,3.0,4.6,4.6
EMP_0113,Engineering,Lead,19,61,3.3,4.5,6.1,4.6
EMP_0114,Operations,Senior,51,53,4.2,2.6,5.5,4.5
EMP_0115,Customer Support,Individual Contributor,38,31,3.6,3.0,6.7,3.5
EMP_0116,Engineering,Senior,25,50,3.5,2.9,5.1,4.5
EMP_0117,Sales,Individual Contributor,16,42,2.7,3.4,5.6,3.1
EMP_0118,HR,Individual Contributor,27,28,2.3,4.9,5.6,4.4
EMP_0119,Engineering,Individual Contributor,20,55,4.0,3.3,7.3,4.4
EMP_0120,Marketing,Individual Contributor,20,60,4.2,4.3,6.6,4.7
EMP_0121,HR,Individual Contributor,50,31,2.3,4.2,5.8,4.5
EMP_0122,Sales,Individual Contributor,10,54,2.8,2.4,3.6,3.7
EMP_0123,Marketing,Lead,38,50,3.2,4.2,6.4,4.9
EMP_0124,Sales,Individual Contributor,20,36,3.4,3.0,6.8,4.0
EMP_0125,HR,Lead,31,68,3.2,3.6,7.8,4.9
EMP_0126,Sales,Individual Contributor,9,63,3.7,2.8,4.9,4.2
EMP_0127,Finance,Individual Contributor,33,41,4.4,3.6,6.4,4.3
EMP_0128,Finance,Individual Contributor,22,52,2.0,2.8,5.0,4.2
EMP_0129,Marketing,Senior,23,61,2.5,3.8,4.2,4.0
EMP_0130,Marketing,Senior,38,33,2.9,3.8,6.7,4.5
EMP_0131,Marketing,Senior,34,47,2.9,3.1,4.4,4.6
EMP_0132,HR,Individual Contributor,34,38,3.4,4.7,6.1,4.5
EMP_0133,Operations,Individual Contributor,26,35,1.8,4.2,6.8,3.8
EMP_0134,Research,Lead,44,75,3.9,2.8,7.1,4.9
EMP_0135,Engineering,Individual Contributor,25,52,4.6,4.1,8.4,4.3
EMP_0136,Operations,Individual Contributor,52,43,2.6,4.3,7.4,4.2
EMP_0137,Engineering,Individual Contributor,30,41,2.2,3.1,6.1,2.9
EMP_0138,Engineering,Individual Contributor,23,46,3.5,4.3,7.1,4.3
EMP_0139,Customer Support,Individual Contributor,28,28,2.9,3.3,3.9,2.9
EMP_0140,Engineering,Individual Contributor,28,42,4.5,3.1,8.1,4.7
EMP_0141,Engineering,Individual Contributor,4,59,2.7,4.3,5.7,4.0
EMP_0142,Operations,Individual Contributor,10,73,3.5,3.3,4.5,4.1
EMP_0143,Legal,Individual Contributor,25,50,2.8,2.4,2.6,3.7
EMP_0144,Finance,Individual Contributor,32,21,4.0,2.9,6.7,4.1
EMP_0145,Engineering,Individual Contributor,25,46,2.7,2.8,6.8,4.7
EMP_0146,Customer Support,Individual Contributor,17,27,3.8,3.2,3.9,3.0
EMP_0147,Customer Support,Senior,30,42,2.0,2.9,3.0,3.5
EMP_0148,Customer Support,Senior,3,32,4.1,2.8,7.0,3.8
EMP_0149,Customer Support,Individual Contributor,7,31,3.9,4.1,8.2,4.0
EMP_0150,Customer Support,Senior,28,28,3.0,4.2,3.4,3.0
EMP_0151,Research,Lead,28,40,2.8,3.9,6.2,4.9
EMP_0152,Engineering,Lead,46,51,3.0,2.9,6.2,4.4
EMP_0153,Marketing,Senior,31,43,3.6,3.3,5.8,4.9
EMP_0154,IT,Senior,35,42,4.3,3.4,8.8,4.9
EMP_0155,Sales,Individual Contributor,20,16,3.0,3.5,6.3,3.5
EMP_0156,IT,Individual Contributor,12,64,4.9,3.1,6.7,4.4
EMP_0157,Engineering,Individual Contributor,5,70,2.5,3.2,5.1,4.0
EMP_0158,Finance,Lead,42,63,2.8,1.2,2.6,4.6
EMP_0159,Engineering,Individual Contributor,41,47,3.7,3.7,6.3,4.8
EMP_0160,Engineering,Individual Contributor,25,41,3.5,2.2,4.8,4.1
EMP_0161,Sales,Senior,9,55,2.9,2.9,4.6,3.7
EMP_0162,Finance,Individual Contributor,37,33,3.6,3.0,6.7,4.8
EMP_0163,Research,Individual Contributor,37,42,2.0,3.3,5.3,3.5
EMP_0164,Finance,Individual Contributor,30,42,3.1,3.5,4.5,3.3
EMP_0165,Engineering,Lead,43,56,3.8,3.0,6.1,4.9
EMP_0166,Customer Support,Lead,38,48,3.0,3.5,5.1,3.6
EMP_0167,IT,Individual Contributor,40,34,4.6,3.3,6.6,4.6
EMP_0168,Engineering,Individual Contributor,41,52,4.1,3.4,8.2,4.9
EMP_0169,Finance,Individual Contributor,22,44,2.9,4.5,8.5,3.8
EMP_0170,Customer Support,Individual Contributor,27,47,2.8,3.5,6.9,3.1
EMP_0171,Sales,Individual Contributor,28,28,4.5,4.6,9.7,4.6
EMP_0172,Sales,Individual Contributor,35,47,3.1,4.0,4.3,3.9
EMP_0173,Sales,Senior,16,33,2.4,3.7,4.8,4.0
EMP_0174,Research,Senior,15,58,3.5,4.0,6.8,4.8
EMP_0175,Finance,Senior,47,51,2.9,1.4,5.5,3.5
EMP_0176,Legal,Individual Contributor,48,35,4.6,3.6,10.0,4.7
EMP_0177,Marketing,Individual Contributor,33,35,3.4,3.6,7.8,4.9
EMP_0178,Sales,Individual Contributor,31,32,3.3,3.8,5.6,3.4
EMP_0179,IT,Senior,22,53,3.1,2.6,3.2,3.2
EMP_0180,HR,Senior,61,47,3.2,4.1,5.5,5.0
EMP_0181,Sales,Individual Contributor,31,18,3.3,4.2,8.7,4.2
EMP_0182,Engineering,Individual Contributor,31,33,4.9,2.9,9.6,4.8
EMP_0183,Operations,Individual Contributor,29,32,2.9,2.7,4.2,3.0
EMP_0184,Engineering,Individual Contributor,37,40,2.2,4.6,7.7,4.8
EMP_0185,Customer Support,Individual Contributor,51,18,3.3,3.9,6.8,3.5
EMP_0186,Engineering,Individual Contributor,38,35,2.9,3.5,6.6,4.3
EMP_0187,Customer Support,Manager,19,63,3.0,2.3,6.0,4.8
EMP_0188,Engineering,Individual Contributor,41,55,3.8,3.2,5.5,4.2
EMP_0189,Research,Individual Contributor,26,44,3.9,3.8,6.0,4.3
EMP_0190,Marketing,Senior,33,28,4.2,3.4,7.2,4.6
EMP_0191,Sales,Individual Contributor,33,30,3.8,3.5,6.1,4.5
EMP_0192,Operations,Individual Contributor,36,36,4.2,4.1,8.4,4.8
EMP_0193,Sales,Senior,31,48,3.7,3.9,5.9,4.8
EMP_0194,Sales,Individual Contributor,35,12,4.2,2.6,6.1,4.1
EMP_0195,Engineering,Senior,19,67,4.2,3.1,4.5,4.3
EMP_0196,Research,Senior,36,78,3.7,3.0,7.2,4.8
EMP_0197,Finance,Manager,54,39,4.0,3.1,8.9,4.7
EMP_0198,Legal,Individual Contributor,39,52,2.5,3.8,6.1,3.8
EMP_0199,IT,Individual Contributor,18,59,2.3,3.2,4.3,4.0
EMP_0200,Finance,Individual Contributor,10,63,4.8,4.0,9.0,4.4
EMP_0201,Customer Support,Individual Contributor,28,7,1.9,3.1,3.8,3.1
EMP_0202,HR,Individual Contributor,37,40,3.0,5.0,6.9,4.4
EMP_0203,Operations,Senior,17,54,3.9,2.6,4.6,4.2
EMP_0204,Sales,Senior,30,35,4.6,2.7,7.0,4.9
EMP_0205,Customer Support,Individual Contributor,18,39,3.3,3.0,8.0,3.9
EMP_0206,Sales,Individual Contributor,37,26,2.8,2.1,5.0,3.4
EMP_0207,Operations,Individual Contributor,39,31,4.7,2.8,8.7,4.7
EMP_0208,Engineering,Individual Contributor,37,57,4.0,3.3,6.1,3.7
EMP_0209,IT,Individual Contributor,41,51,4.1,3.1,5.5,4.0
EMP_0210,Engineering,Individual Contributor,33,42,2.8,3.4,4.3,3.9
EMP_0211,Operations,Senior,21,54,3.1,3.0,2.9,3.1
EMP_0212,Marketing,Lead,29,49,3.7,3.0,6.9,4.9
EMP_0213,Engineering,Individual Contributor,37,23,3.4,2.5,5.2,4.7
EMP_0214,Finance,Individual Contributor,17,44,3.7,3.4,6.8,3.4
EMP_0215,Customer Support,Senior,18,43,2.4,3.1,2.3,2.7
EMP_0216,Research,Lead,34,49,3.6,4.1,8.5,4.7
EMP_0217,Operations,Individual Contributor,15,21,3.7,3.8,4.7,4.2
EMP_0218,Engineering,Individual Contributor,9,55,3.9,3.9,8.4,4.8
EMP_0219,Research,Individual Contributor,25,62,2.4,4.3,6.5,4.8
EMP_0220,Marketing,Individual Contributor,23,47,3.5,3.8,5.1,3.4
